,questions,answers
733,What are the potential consequences for a member who applies for an Original Inspection on lumber they haven't bought or sold?,The member may be subject to suspension or expulsion from the Association.
734,What action can the Association take if a member refuses to recognize an Original Inspection after agreeing to be governed by it?,"The Association can suspend service to the member, as specified in the By Laws."
735,When can an Original Inspection be considered repudiated?,An Original Inspection can be considered repudiated if the buyer fails to settle in full for the shipment without applying for a re-inspection.
736,What are the requirements for repudiation of an Original Inspection made at destination?,"For repudiation to occur, the buyer must fail to settle in full for the portion of the shipment that meets the specifications of the order, which must amount to at least 30% of the total footage of the shipment."
737,What options are available for lumber not up to the specifications in an Original Inspection?,The lumber may be held for the seller's disposition or accepted with any agreed-upon adjustment between the buyer and seller.
738,What should the buyer do when an Original Inspection is conducted at destination by agreement?,The buyer should protect the seller's right to re-inspection by preserving the official NHLA seal from each bundle of lumber and giving the seller an opportunity to order re-inspection before using any part of the shipment.
739,Which lumber thickness is subject to grading and measurement by a National Inspector only at declaration?,"Lumber 5/4"" thick or thicker is subject to grading and measurement by a National Inspector only at declaration."
740,Do the regulations regarding grading and measurement by a National Inspector only at declaration apply to all types of lumber?,"No, the regulations apply especially but not solely to lumber bulk piled at shipping point."
741,What is the purpose of measuring lumber in the forestry industry?,Measuring lumber is done to determine the dimensions and quantities of lumber for trading and construction purposes.
742,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine."
743,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.
744,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.
745,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.
746,What is the purpose of the Financial Guarantee in forestry?,The Financial Guarantee is used to provide assurance of payment for claims.
747,When should claims for payment under the Financial Guarantee be presented?,Claims should be presented within 30 days after the date of Official Re-inspection.
748,What expenses will the Association cover for approved claims on the four percent money value claim?,"The Association will cover labor costs for handling the re-inspected lumber at actual cost or $15.00 per M feet, whichever is less."
749,What are some limitations on the applicability of the Financial Guarantee?,All limitations stated in the Original Inspection Regulations are incorporated and made a part of the Financial Guarantee.
750,What defects are considered during the Official Re-inspection of seal strapped and sealed shipments?,"Defects such as warp, stain, and checks are considered during the Official Re-inspection."
751,Under what circumstances does the Financial Guarantee apply to lumber loaded on open rail cars and open trucks?,"The Financial Guarantee applies to lumber loaded on open rail cars and open trucks, except for specific defects ordered by the buyer."
752,What are some contingencies that shipments under this code are subject to?,"Shipments under this code are subject to contingencies such as fines, floods, strikes, delays of carriers, acts of God, or other conditions beyond the control of the contracting parties."
753,What is the requirement for making a claim for relief regarding contingencies?,A claim for relief regarding contingencies must be made in good faith and supported by satisfactory evidence that the failure to discharge contractual obligations is solely due to the operation of the contingency or other conditions beyond the control of the contracting parties.
754,What does the term 'F.O.B. destination' or 'Freight allowed to destination' include?,The term 'F.O.B. destination' or 'Freight allowed to destination' includes only the handful line hall charge in effect on the date of operation.
755,"Who is responsible for paying switching charges, terminal charges, and tax on freight and duty assessed on goods?","Unless otherwise stipulated, the buyer is responsible for paying switching charges, terminal charges, and tax on freight and duty assessed on goods. However, if these charges result from the seller's negligence in not conforming to the shipping instructions, then the seller is responsible for payment."
756,What liability does the seller assume when the price is agreed upon for delivery at destination?,"When the price is agreed upon for delivery at destination, the seller assumes all liability for any increase in freight rates and receives the benefit arising from any reduction in freight rate."
757,What liability does the buyer assume when the price is agreed upon at the shipping point?,"When the price is agreed upon at the shipping point, the buyer assumes all liability for any increase in freight rate and receives the benefit arising from any reduction in freight rate."
758,What are the current rules for grading and measurement of the National Hardwood Number Association?,The current rules for grading and measurement of the National Hardwood Number Association apply to the number sold under this code.
759,What type of inspection does the code provide for?,The code provides for both Original Inspection and Re-inspection regulated by the Original Inspection Regulations and the Re-inspection Regulations.
760,How should a claim for relief arising from the operation of contingencies be made?,A claim for relief arising from the operation of contingencies must be made in good faith and supported by satisfactory evidence.
761,Who is responsible for payment if the seller neglects to conform to shipping instructions?,"If the seller neglects to conform to shipping instructions, the seller assumes the payment of charges that have accrued due to his neglect."
762,What is the purpose of forestry?,"Forestry is the practice of managing and cultivating forests for various purposes such as timber production, conservation, and ecosystem services."
763,What are some common characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine."
764,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.
765,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.
766,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.
767,What is the process of plain sawing in forestry?,"Plain sawing is a method of cutting lumber where the log is cut parallel to the growth rings, resulting in a wider variety of grain patterns."
768,What is the purpose of industrial blocking in forestry?,"Industrial blocking is the process of creating large, standardized pieces of wood used in the construction of industrial facilities and equipment."
769,What are inspection fees in forestry?,Inspection fees are charges imposed for the evaluation and assessment of forestry practices to ensure compliance with regulations and standards.
770,What is the standard measurement and tally method in forestry?,The standard measurement and tally method in forestry is a system of measuring and recording the quantity and quality of harvested timber.
771,What are military timbers in forestry?,"Military timbers are specially cut and treated wood used in the construction of military structures, such as barracks and defense fortifications."
772,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine."
773,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.
774,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.
775,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.
776,What are some tips and shortcuts in forestry?,"Some tips and shortcuts in forestry include determining 2/3 the width of the board using the lumber scale, calculating the value for upgrading by obtaining the percentage difference between lumber pieces and dividing 100 by the surface measure, and deducting the amount of side bend in a board when taking full length cuttings."
777,How do you determine 2/3 the width of a board?,"To determine 2/3 the width of a board, use the 16' scale on the lumber scale and divide by 2."
778,How do you calculate the value for upgrading?,"To calculate the value for upgrading, obtain the percentage difference between lumber pieces, then divide 100 by the surface measure."
779,What should be considered when reducing the surface measure percentage?,"When reducing the surface measure percentage, do not exceed the percentage difference of the pieces."
780,How do you determine the amount of side bend in a board?,"To determine the amount of side bend in a board, stand the board on its edge and measure the bend as its greatest distance from a straight line."
781,"What is the maximum width of a full length cutting for a board with a 1-inch bend, 6 inches wide, and 10 inches long?","The maximum width of a full length cutting for a board with a 1-inch bend, 6 inches wide, and 10 inches long is 5 inches."
782,What is the requirement for each cutting of Red Birch?,Each required cutting of Red Birch shall have one clear heartwood face.
783,What is the standard for FAS grade of Red Birch?,"For Red Birch, the standard for FAS grade is width 5* and wider; pieces 5* wide containing 3' and 4' surface measure shall be clear, pieces 5* wide containing 5' in 7' surface measure shall yield 11/12 (91-2/3%) clear face in one cutting."
784,What is the grading standard for Hard Maple?,"The grading standards for Hard Maple include FAS, F1F, SELECTS, NO. 1 COMMON, NO. 2A COMMON, NO. 3A COMMON, NO. 2B COMMON, and NO. 3B COMMON."
785,What should be specified when referring to Sap Birch?,"When referring to Sap Birch, each required cutting shall have one clear sapwood face."
786,What is the standard for FAS grade of Sap Hard Maple?,"For Sap Hard Maple, the standard for FAS grade is width 5* and wider; pieces 5* wide containing 3' and 4' surface measure shall be clear, pieces 5* wide containing 5' to 7' surface measure shall yield 11/12 (91-2/3%) clear face in one cutting."
787,What should be specified when referring to White Maple?,Orders for White Maple should specify Hard Maple or Soft Maple.
788,What is the difference between No. 1 White Maple and No. 2 White Maple?,"No. 1 White Maple requires both faces and both edges of the required cuttings to be sapwood, while No. 2 White Maple requires one face and both edges with the reverse side not less than 50% sapwood."
789,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine."
790,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.
791,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.
792,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.
793,What is the characteristic grain pattern of ribbon stripe wood?,Ribbon stripe wood has a stripe effect caused by quarter sawing.
794,What is the marking and color tone requirement for quartered red gum wood?,Each piece of quartered red gum wood should have marking and color tones producing a variegated effect on the surface.
795,"What is the grading standard for Aspen wood of EAS, F1E, SELECTS, and NO. 1 COMMON?",Standard.
796,What is the grading standard for NO. 2A COMMON Aspen wood?,Standard except stain is admitted.
797,"What is the grading standard for American Chestnut wood of EAS, F1E, SELECTS, and NO. 1 COMMON?","Standard, except that worm holes and stain shall be admitted without limit."
798,What is the admission standard for sound knots in SOUND WORMY American Chestnut wood?,The size of sound knots admitted is not limited.
799,What are some characteristics of No. 3 Common Timbers?,"No. 3 Common Timbers have cancer defects like coarse peck and occasional knot holes, but each piece is sufficient for use as ground silk and low cost building material."
800,What are the width and length requirements for FAS grade Mesquite?,"The widths for FAS grade Mesquite are 6 inches and greater, and the lengths are 4 inches and greater."
801,What is the minimum size of cuttings for FAS grade Mesquite?,The minimum size of cuttings for FAS grade Mesquite is 4 inches wide by 24 inches long.
802,How is the grading done for FAS grade Mesquite?,"Grading for FAS grade Mesquite is made on the percent face of the board, with at least 83% of surface measure present as clear-face cuttings."
803,What are the width and length requirements for Selicit grade Mesquite?,"The widths for Selicit grade Mesquite are 4 inches and greater, and the lengths are 5 inches and greater."
804,What is the minimum size of cuttings for Selicit grade Mesquite?,The minimum size of cuttings for Selicit grade Mesquite is 2.5 inches wide by 18 inches long.
805,How is the grading done for Selicit grade Mesquite?,"Grading for Selicit grade Mesquite is made on the clearest face, with at least 83% of surface measure present as clear-face cuttings."
806,What are the width and length requirements for No. 1 Common grade Mesquite?,"The widths for No. 1 Common grade Mesquite are 2 inches and greater, and the lengths are 2 feet and greater."
807,What is the minimum size of cuttings for No. 1 Common grade Mesquite?,The minimum size of cuttings for No. 1 Common grade Mesquite is 1.5 inches wide by 6 inches long.
808,How is the grading done for No. 1 Common grade Mesquite?,"Grading for No. 1 Common grade Mesquite is made on the facet, with at least 50% of surface measure present as clear-face cuttings."
809,What are the standards for Virginia pine?,Virginia pine has specific standards for its growth and appearance.
810,What is the maximum height for Virginia pine?,Virginia pine can grow up to 40 to 60 feet tall.
811,What is the diameter of a mature Virginia pine?,A mature Virginia pine can have a diameter of 1 to 1.5 feet.
812,What is Virginia pine commonly used for in the southern states?,Virginia pine is often grown for Christmas trees.
813,What is the allowable defect in Virginia pine pieces?,"Defects in Virginia pine are allowed within certain limits, such as sapwood on the face side or other defects in the reverse side."
814,What is the maximum width for Poplar Strips?,"Poplar Strips can have widths ranging from 2-1/2"" to 6""."
815,What is the standard grade for Clear Poplar Strips?,Clear Poplar Strips should be clear on both faces and have limited airwood.
816,What is the grade of Poplar Strips that allows unlimited airwood?,The grade No. 1 Common of Poplar Strips allows unlimited airwood but with a limitation on defects.
817,What is the requirement for curings in No. 1 Common Poplar Strips?,All curings in No. 1 Common Poplar Strips should be clear on both faces.
818,What is the allowance for mineral stain in FAS Quartered Poplar?,"In FAS Quartered Poplar, mineral stain is allowed without limit."
819,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine."
820,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.
821,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.
822,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.
823,Where is Virginia pine commonly found?,Virginia pine is commonly found in the southeastern United States.
824,What is the scientific name of Virginia pine?,The scientific name of Virginia pine is Pinus virginiana.
825,What is the natural range of Virginia pine?,The natural range of Virginia pine extends from southeastern New York to northern Florida and west to eastern Kentucky and eastern Tennessee.
826,How long does it take for Virginia pine to reach maturity?,Virginia pine takes about 35 to 40 years to reach maturity.
827,What is the primary use of Virginia pine wood?,The primary use of Virginia pine wood is for pulp and pallets.
828,Is Virginia pine an important species for wildlife?,"Yes, Virginia pine provides important cover and food for various wildlife species."
829,What is the unit of measure for board feet?,The unit of measure for board feet is 12 inches wide by 12 inches long and 1 inch thick (144 cubic inches).
830,What does surface measure represent?,Surface measure represents the number of square feet on the surface of a board without regard to thickness.
831,How is board feet calculated?,"Board feet is calculated by multiplying the surface measure by the standard thickness, rounding up or down to the nearest whole number."
832,What is the measurement rule for random width lumber?,"In random width lumber measured with a board rule, fractions of a foot below the half are dropped and fractions of a foot higher than the half are rounded to the next higher whole foot."
833,How are widths measuring to the even half feet counted?,Widths measuring to the even half feet are counted accurately to the next higher or lower foot.
834,What happens to fractions of feet longer than the standard lengths in standard length lumber?,Fractions of feet longer than the standard lengths are dropped to the next lower standard length in standard length lumber.
835,When is board footage measured in surfaced lumber?,Board footage is measured before surfacing in surfaced lumber.
836,What does reference to percentages apply to?,Reference to percentages applies to board feet and not to the number of pieces.
837,What is end tally measurement?,"End tally measurement is the method of board footage measurement where lumber is tallied on a 12-foot basis, taking width measurements from the ends of boards after the lumber has been stacked in bundles."
838,How is tapering lumber in standard lengths measured?,Tapering lumber in standard lengths is measured one-third the length of the piece from the narrow end for surface measure and to record footage on length and width tallies.
839,What are the grading rules for Colonial Poplar?,The grading rules for Colonial Poplar admit pieces of different sizes to yield a certain percentage of cuttings.
840,How many cuttings are allowed for pieces 2' to 4' in surface measure for Colonial Poplar?,Pieces 2' to 4' in surface measure for Colonial Poplar yield 1 cutting.
841,How many cuttings are allowed for pieces 5' to 7' in surface measure for Colonial Poplar?,Pieces 5' to 7' in surface measure for Colonial Poplar yield 2 cuttings.
842,How many cuttings are allowed for pieces 8' to 10' in surface measure for Colonial Poplar?,Pieces 8' to 10' in surface measure for Colonial Poplar yield 3 cuttings.
843,How many cuttings are allowed for pieces 11' to 15' in surface measure for Colonial Poplar?,Pieces 11' to 15' in surface measure for Colonial Poplar yield 4 cuttings.
844,How many cuttings are allowed for pieces 14' and over in surface measure for Colonial Poplar?,Pieces 14' and over in surface measure for Colonial Poplar yield 5 cuttings.
845,What additional cutting is allowed for Rustic Oak compared to Colonial Poplar?,Rustic Oak allows for one additional cutting compared to Colonial Poplar.
846,What are the grading rules for Pacific Coast Red Alder?,Pacific Coast Red Alder lumber allows for the admission of pin knoes and other defects of certain dimensions.
847,What is the maximum dimension allowed for knoes in Pacific Coast Red Alder lumber?,The maximum dimension allowed for knoes in Pacific Coast Red Alder lumber is 1/4 inch.
848,What is the maximum dimension allowed for unround carriers in Pacific Coast Red Alder lumber?,The maximum dimension allowed for unround carriers in Pacific Coast Red Alder lumber is 1/8 inch.
849,What are the allowable defects for forestry boards?,"Allowable defects could be a small (1/2"") sound knot in the center, a crack less than 1/32"" wide and 3"" long, or an unusual knot or crack in the very end of the board that does not exceed more than 2"" into the length of the board."
850,"What are the grades for small, clear mesquite pieces?","The grades for small, clear mesquite pieces are Cif (clear ONE FACE), Cif (clear TWO FACE), Core, Sound INTENTOR, and Sound FRAME."
851,What is required for material to be classified as Cif (clear ONE FACE)?,"Material classified as Cif (clear ONE FACE) must be clear on one side or face, both edges, and both ends. The reverse face may contain defects of sound quality."
852,What is required for material to be classified as Cif (clear TWO FACE)?,"Material classified as Cif (clear TWO FACE) must be clear on both faces, the edges, and the ends. It allows layered, light streaks, small burls or swirls, and light stain."
853,What is required for material to be classified as Core?,"Material classified as Core must be sound on both faces and may have tight sound knots, small worm holes, slight surface checks, or their equivalent."
854,What is required for material to be classified as Sound INTENTOR?,Material classified as Sound INTENTOR may contain any defects that will not necessarily impair the strength of the individual piece for the intended use.
855,What is required for material to be classified as Sound FRAME?,Material classified as Sound FRAME is the same as for Sound INTENTOR.
856,"Without limit, what lengths are admitted for Cidi?",Cidi lengths are admitted without limit.
857,What is not allowed in the cutting on both faces for all grades in Tropicl Hardwoods?,Saproed is not allowed in the cutting on both faces in all grades of Tropicl Hardwoods.
858,"What is the percentage of clear face required for pieces of 4"" and 5"" surface measure in FAsi?","Pieces of 4"" and 5"" surface measure in FAsi must yield 11/12 (91-2/3%) clear face in one cutting."
859,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine."
860,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.
861,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.
862,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.
863,What is the scientific name of Virginia pine?,The scientific name of Virginia pine is Pinus virginiana.
864,What is the preferred habitat of Virginia pine?,"Virginia pine is adapted to a wide range of habitats, but it prefers dry, sandy soils."
865,What is the natural range of Virginia pine?,Virginia pine naturally occurs in the southeastern United States.
866,What are the leaves of Virginia pine like?,The leaves of Virginia pine are needle-like and occur in bundles of two.
867,What are the cones of Virginia pine like?,"The cones of Virginia pine are small, measuring 1.5 to 2 inches long, and have prickly scales."
868,What is the commercial value of Virginia pine?,Virginia pine is valuable for lumber and pulpwood production.
869,What are the grading requirements for NO. 1 COMMON?,Each cutting shall have one clear heartwood face.
870,What are the grading requirements for NO. 2A COMMON?,Each cutting shall have one clear heartwood face. Pieces below the grade of No. 2A Common shall be graded as Sap Gam.
871,What are the characteristics of Plain Sawn Red Gum?,Each piece shall be especially selected for markings and color tones of spots and tracks producing a varieged effect on the surface.
872,What are the requirements for Plain Sawn Red Gum regarding markings and color tones?,"One face of each equaled curing shall show 90% in the aggregate of such markings and color tones, with the exception that untipped pieces not encoding 1"" by 24"" or its equivalent in area between spots and uncaks, shall be disregarded."
873,What are the requirements for Quartered Red Gum regarding figure and stain?,No figure is required. Stain is admitted in the sagwood in all grades.
874,What are the grading requirements for FAS?,"Widths 5"" and wider pieces 5"" wide containing 3' and 4' surface menure shall be clear, pieces 5"" wide containing 5' to 7' surface menure shall yield 11/12 (91-2/3%) clear-face in one cutting."
875,"What are the requirements for pieces 5"" wide in FAS?","Pieces 5"" wide shall be face of sagwood on one face; pieces 6"" and 7"" wide may have 3/4"" of sapwood in the aggregate on one face; pieces 8"" and wider may have 1"" of sapwood in the aggregate on one face. The reverse side of any piece will admit supposed aggregating one-fifth of its surface. Any part of the sapwood allowed may be included in the curing."
876,What are the grading requirements for SELECTS?,"Pieces 4"" and 5"" wide shall be free of sapwood on one face; pieces 6"" and 7"" wide will admit 3/4"" of sapwood and pieces 8"" and wider 1"" of sapwood in the aggregate on one face, which faces shall meet the grading requirements of Standard Selects. Unlimited sapwood is admitted on the reverse side."
877,What are the grading requirements for NO. 1 COMMON?,Each cutting shall have one clear heartwood face.
878,What are the grading requirements for NO. 2A COMMON?,Each cutting shall have one clear heartwood face.
879,What is the maximum length for splits in boards wider than 10 inches?,"In boards wider than 10 inches, splits cannot exceed the aggregate surface measure of the piece in length, except when one foot or shorter and covered by Paragraph 59."
880,What are the requirements for clear wood and sound wood in the ends of standard length boards?,"Within one final foot from the ends of the boards of standard lengths, there must be 50% clear wood and not less than 25% of sound wood in the aggregate."
881,What is the maximum average diameter for knots or holes in a piece of lumber?,"The maximum average diameter for knots or holes in a piece of lumber is one-third the surface measure of the piece in feet, except when it lies entirely within the first lineal foot of a board and is covered by Paragraph 59."
882,What is the allowance for warp and cup in boards with a standard surfaced thickness?,"Warp and cup are admitted if the entire board will surface use side as standard surfaced thickness, following the rules for lumber surfaced two sides. Pieces 12"" and wider can be cupped or warped as long as they can be ripped to produce two pieces each of which would grade FAS and meet the warp and cup requirement. This exception does not apply to contracts for lumber in special widths 10"" and wider."
883,What is the clear-face cutting yield requirement for FAS-grade lumber?,"FAS-grade admits pieces that will yield 10/12 (83-1/3%) or 11/12 (91-2/3%) clear-face cutting. Surface measures from 4' to 7' require 10/12 (83-1/3%) to yield one cutting. Measures from 8' to 11' require two cuttings. Measures from 12' to 15' require three cuttings. Measures 16' and over require four cuttings. In addition, pieces 6' to 15' surface measure can admit one additional coating to yield 11/12 (91-2/3%)."
884,What is the skew method for determining the maximum number of coatings permissible in pieces of 4' and over?,"The skew method is to divide the surface measure by four, dropping fractions, except not more than 4 coming as adjusted. Pieces 6' to 15' surface measure can admit one additional curing to yield 11/12 (91-2/3%) clear-face."
885,"What is the coating requirement for boards with a surface measure of 6' to 12' and a width of 6"" and wider?","FAS-grade admits pieces 6"" and wider of 6' to 12' surface measure that will yield 11/16/12 (93%) or two clear-face coatings of any length full width of the board."
886,What is Virginia pine intolerant of?,Virginia pine is intolerant of shade.
887,What is the growth rate of Virginia pine?,Virginia pine has a moderate growth rate.
888,What type of pine is Virginia pine?,Virginia pine is a hard pine.
889,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.
890,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine."
891,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.
892,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.
893,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.
894,Where is the Virginia pine commonly found?,The Virginia pine is commonly found in the southeastern United States.
895,What is the scientific name of Virginia pine?,The scientific name of Virginia pine is Pinus virginiana.
896,Does Virginia pine produce softwood or hardwood?,Virginia pine is a softwood.
897,What is the average lifespan of Virginia pine?,The average lifespan of Virginia pine is around 50 to 90 years.
898,What are some common uses of Virginia pine wood?,"Virginia pine wood is commonly used for construction, flooring, and furniture."
899,Is Virginia pine a native species of North America?,"Yes, Virginia pine is a native species of North America."
900,What are the standard widths for lumber?,The standard widths for lumber are full width and up to 1/4 inch scant.
901,What is the specified width for lumber when draved one or two sides?,The specified width for lumber when draved one or two sides is 3/8 inch scant for lumber less than 8 inches wide and 1/2 inch scant for lumber 8 inches and wider.
902,What are the standard lengths for lumber?,"The standard lengths for lumber are 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, and 16 feet."
903,What are the standard thicknesses for rough lumber?,"The standard thicknesses for rough lumber are 3/8 inch, 1/2 inch, 5/8 inch, 3/4 inch, 1 inch, 1-1/4 inches, 1-1/2 inches, 1-3/4 inches, 2 inches, 2-1/2 inches, 3 inches, 3-1/2 inches, 4 inches, 4-1/2 inches, 5 inches, 5-1/2 inches, and 6 inches."
904,How can lumber thickness be expressed for one inch and thicker lumber?,"Lumber thickness can also be expressed in quarter inches for one inch and thicker lumber. For example, 4/4, 5/4, 6/4, 7/4, 8/4, 10/4, 12/4, 14/4, 16/4, 18/4, 20/4, 22/4, and 2/4/4."
905,What is the standard thickness for surfaced lumber?,"The standard thickness for surfaced lumber is calculated by subtracting 3/16 inch from the standard rough thickness for lumber 1-1/2 inch thick or less, and subtracting 1/4 inch for lumber between 1-3/4 inch and 4 inches thick."
906,What is the standard thickness for rough lumber that is 1-3/4 inch thick?,The standard thickness for rough lumber that is 1-3/4 inch thick is 52S 1-1/2 inch when surfaced.
907,What is the standard thickness for rough lumber that is 2-1/2 inch thick?,The standard thickness for rough lumber that is 2-1/2 inch thick is 52S 2-1/4 inch when surfaced.
908,What is the standard thickness for rough lumber that is 3-1/2 inch thick?,The standard thickness for rough lumber that is 3-1/2 inch thick is 52S 3-1/4 inch when surfaced.
909,Are there any special contract requirements for lumber surfaced on one side only?,"Yes, the thickness of lumber surfaced on one side only is subject to special contract."
910,What is the minimum cutting size in No. 2 Shop_4?,"The minimum cutting size in No. 2 Shop_4 is 3"" wide by 2' long."
911,What is the minimum cutting size in No. 3 Shop_4?,"The minimum cutting size in No. 3 Shop_4 is 3"" wide by 2' long."
912,What is the width requirement for frame grade?,"The width requirement for frame grade is 4"" and wider."
913,What is the length requirement for frame grade?,The length requirement for frame grade is 7' and longer.
914,What is the maximum allowed wane in frame grade?,The maximum allowed wane in frame grade is one-fourth the width and one-half the length of the piece.
915,What defects are admitted in frame grade?,"Defects such as bark pockets, season checks, slight surface shake, firm tight path, stain, worm holes, and unsound knots are admitted in frame grade."
916,What is the minimum size requirement for other cuttings in frame grade?,"The minimum size requirement for other cuttings in frame grade is 4"" x 2'."
917,What percentage of clear-face cutting must each piece yield in frame grade?,Each piece in frame grade must yield not less than 83-1/3% clear-face cutting.
918,What are the characteristics of No. 2 Shop_4 boards?,"No. 2 Shop_4 boards have a width of 4"" and wider, random length of 4' and longer, and a minimum cutting size of 3"" wide by 2' long."
919,What are the characteristics of No. 3 Shop_4 boards?,"No. 3 Shop_4 boards have a width of 3"" and wider, random length of 4' and longer, and a minimum cutting size of 3"" wide by 2' long."
920,"What percentage of the required curing area should show figure for Quarter Sawn Red Oak, White Oak, and Locust?",90% of one face of the required curing area should show figure.
921,"What is the grade standard for FAS in Quarter Sawn Red Oak, White Oak, and Locust?","The grade standard for FAS is standard, except for widths 5* and wider, where clear pieces with 3* and 4* surface measure are required."
922,"What is the grade standard for FAS, F1F, SELECTS, NO. 1 COMMON, NO. 2A COMMON, NO. 3A COMMON, SOUND WORMY, NO. 2B COMMON, NO. 3B COMMON?",The grade standard is standard for all the mentioned grades.
923,What are the limitations for mineral strukics and spost in Quarter Sawn Sycamore?,"Mineral strukics and spost, as well as strucks and spost of similar nature, are admitted without limit."
924,What is the note regarding mineral net in Poplar (American Tulipwood)?,"Mineral net extending in the aggregate one-third of the surface of the piece is admitted in FAS, F1F, and Selects, but it is not limited in the Common grading."
925,"What is the grade standard for FAS, F1F, and SELECTS in Poplar (American Tulipwood)?","The grade standard for FAS, F1F, and SELECTS is standard."
926,What is the grade standard for NO. 1 COMMON in Poplar (American Tulipwood)?,"The grade standard for NO. 1 COMMON is standard, but slight stain is permitted."
927,What is the grade standard for NO. 2A COMMON in Poplar (American Tulipwood)?,"The grade standard for NO. 2A COMMON is standard, but stain is admitted."
928,What is the grade standard for NO. 2B COMMON in Poplar (American Tulipwood)?,The grade standard for NO. 2B COMMON is standard.
929,What is the grade standard for NO. 3A COMMON in Poplar (American Tulipwood)?,"The grade standard for NO. 3A COMMON is standard, except the curing must be sound as defined in ""Sound Cutting""."
930,What is the grade standard for NO. 3B COMMON in Poplar (American Tulipwood)?,The grade standard for NO. 3B COMMON is standard.
931,What is the definition of end shake?,End shake is a defect in timber where there is separation between the annular rings at the end of the piece.
932,How many annular ring growths are allowed for end shake in the center area of the timber?,Up to six annular ring growths are allowed for end shake in the center area of the timber.
933,What is the maximum length of end shake allowed?,The length of the shake must not exceed 3/4 of the circumference of the rings in which they appear.
934,What is surface shake?,"Surface shake is a defect in timber where there is separation on the surface, typically appearing as cracks or splits."
935,"How much surface shake is allowed in pieces 5"" and less in thickness?","Surface shake may appear on one face only, and may be admitted up to one-third of the length of the piece in the aggregate."
936,What are some unbound defects that are allowed in common timbers and industrial blocking?,"Unbound defects such as pith, based or showing on the surface; worm holes; wound knots; occasional push holes; occasional knot holes; split in each end not exceeding one-sixth of the length; shake on the surface not exceeding one-half the length of the piece; season checks."
937,What is the maximum diameter of an unsound heart center allowed?,The unsound heart center shall not exceed in diameter one-inch of the smallest dimension of the timber.
938,What are Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.
939,What are the allowable dimensions for the pieces in common timbers and industrial blocking?,"The pieces shall be known full to specified sizes, with 10% of the pieces allowed to be 1/4"" orant in thickness and/or width. The entire shipment may be up to 1"" over in thickness and/or width and up to 3"" over in length."
940,"What is the maximum length of end shake allowed in pieces 5"" and less in thickness?","End shake may be admitted in six annular ring growths, and the shake shall not exceed three-quarters of the length of the ring growth segments in which they appear."
941,What applications need to be made in writing for an Original Inspection?,Applications for an Original Inspection on grades in this book shall be made in writing.
942,Who should applications for an Original Inspection be addressed to?,Applications for an Original Inspection should be addressed to the Chief Inspector or an authorized National Inspector of the Association.
943,How can applications for an Original Inspection be sent?,"Applications for an Original Inspection can be sent by calling ahead and then mailing or faxing the application to the National Inspector nearest the point where the inspection is to be made, and sending a copy to the Chief Inspector."
